,genre,cluster_num,words
0,전체,0,"['니즈', '개의', '스노우']"
1,전체,1,"['저주', '자신', '그녀']"
2,전체,2,"['제물', '구도', '돌아오']"
3,전체,3,"['체질', '가깝', '하늘']"
4,전체,4,"['소설', '원작', '엑스트라']"
5,전체,5,"['미션', '개월', '타임']"
6,전체,6,"['엄마', '외국인', '아줌마']"
7,전체,7,"['나가', '100', '공략']"
8,전체,8,"['마녀', '유리', '계약']"
9,전체,9,"['연기', '드라마', '배우']"
10,전체,10,"['게임', '뚝배기', '패싸움']"
11,전체,11,"['유명', '셀레네', '생활']"
12,전체,12,"['폐인', '흡수', '복수']"
13,전체,13,"['만나', '남자', '빠져나오']"
14,전체,14,"['스무', '아이', '홍시']"
15,전체,15,"['룰렛', '돌리', '아이템']"
16,전체,16,"['복수', '꼬이', '매니저']"
17,전체,17,"['종문', '망하', '회사']"
18,전체,18,"['약초', '기명제', '현문']"
19,전체,19,"['무림', '액션', '이중']"
20,전체,20,"['지존', '자질', '의하']"
21,전체,21,"['해결', '육진', '미녀']"
22,전체,22,"['슈퍼', '부활', '히어로']"
23,전체,23,"['세계', '마왕', '소환']"
24,전체,24,"['현실', '그녀', '눈앞']"
25,전체,25,"['암투', '권력', '궁중']"
26,전체,26,"['제국', '아기', '기어']"
27,전체,27,"['레벨', '각성', '포인트']"
28,전체,28,"['세계', '태어나', '재능']"
29,전체,29,"['다정다감', '이지', '그때']"
30,전체,30,"['약골', '21', '세기']"
31,전체,31,"['악마', '세상', '인간']"
32,전체,32,"['연애', '현우', '철벽']"
33,전체,33,"['전공', '수락', '이것']"
34,전체,34,"['혈맥', '타고나', '각성']"
35,전체,35,"['강호', '화원', '목소리']"
36,전체,36,"['각성', '무인', '멸시']"
37,전체,37,"['엔딩', '소설', '주인공']"
38,전체,38,"['고등학생', '평범', '일상']"
39,전체,39,"['야구', '선수', '태권도']"
40,전체,40,"['천재', '전설', '신비']"
41,전체,41,"['악녀', '소설', '의하']"
42,전체,42,"['하백', '어머니', '수련']"
43,전체,43,"['성진', '야화', '만족']"
44,전체,44,"['운혜', '산장', '사마']"
45,전체,45,"['언니', '결혼', '남자']"
46,전체,46,"['고양이', '집사', '조선']"
47,전체,47,"['여왕', '종족', '드래곤']"
48,전체,48,"['공주', '모험', '좌충우돌']"
49,전체,49,"['다니', '회사', '하리']"
50,전체,50,"['학사', '서원', '제자']"
51,전체,51,"['행이', '바보짓', '계시']"
52,전체,52,"['육성', '발동', '시스템']"
53,전체,53,"['멸망', '세계', '독자']"
54,전체,54,"['사건', '형사', '끔찍']"
55,전체,55,"['일진', '만두', '전학']"
56,전체,56,"['군대', '모험', '도전']"
57,전체,57,"['스킬', '게임', '레벨']"
58,전체,58,"['시스템', '새롭', '세계']"
59,전체,59,"['세운', '슬립', '타임']"
60,전체,60,"['친구', '남자', '세우']"
61,전체,61,"['전진', '조지', '도화']"
62,전체,62,"['왕국', '결혼', '베르크']"
63,전체,63,"['버그', '정점', '레드']"
64,전체,64,"['캠퍼스', '라이프', '얼떨결']"
65,전체,65,"['대회', '전국', '막장']"
66,전체,66,"['치유', '아이', '레인']"
67,전체,67,"['2020', '수상작', '공모전']"
68,전체,68,"['첫사랑', '쓰이', '신경']"
69,전체,69,"['뮤즈', '하우스', '여리']"
70,전체,70,"['튜브', '아빠', '채널']"
71,전체,71,"['지원', '현실', '20']"
72,전체,72,"['죽이', '불사', '액션']"
73,전체,73,"['누군가', '부르', '호칭']"
74,전체,74,"['강진', '제자', '정양']"
75,전체,75,"['임진', '승낙', '소가']"
76,전체,76,"['자신', '그녀', '어머니']"
77,전체,77,"['에피소드', '분할', '기존']"
78,전체,78,"['주어지', '기회', '버티']"
